Equipe,Piloto
Avalanche Andretti Formula E Team,Jake Dennis
Avalanche Andretti Formula E Team,André Lotterer
Envision Racing,Sébastien Buemi
Envision Racing,Nick Cassidy
Jaguar TCS Racing,Mitch Evans
Jaguar TCS Racing,Sam Bird
DS Penske,Stoffel Vandoorne
DS Penske,Jean-Éric Vergne
Nissan Formula E Team,Norman Nato
Nissan Formula E Team,Sacha Fenestraz
NEOM McLaren Formula E Team,René Rast
NEOM McLaren Formula E Team,Jake Hughes
Mahindra Racing,Lucas di Grassi
Mahindra Racing,Roberto Merhi
Maserati MSG Racing,Edoardo Mortara
Maserati MSG Racing,Maximilian Günther
NIO 333 Racing,Dan Ticktum
NIO 333 Racing,Sérgio Sette Câmara
ABT CUPRA Formula E Team,Robin Frijns
ABT CUPRA Formula E Team,Nico Müller
TAG Heuer Porsche Formula E Team,António Félix da Costa
TAG Heuer Porsche Formula E Team,Pascal Wehrlein
